Ano,Coluna_Kaggle,Coluna_Sugerida
2022,INCOME2,INCOME3
2022,GENHLTH,GENHLTH
2022,PHYSHLTH,PHYSHLTH
2022,MENTHLTH,MENTHLTH
2022,POORHLTH,POORHLTH
2022,HLTHPLN1,_HLTHPLN
2022,CHECKUP1,CHECKUP1
2022,BPHIGH4,
2022,TOLDHI2,
2022,CVDSTRK3,CVDSTRK3
2022,CHCSCNCR,CHCSCNC1
2022,CHCOCNCR,CHCOCNC1
2022,CHCCOPD1,CHCCOPD3
2022,HAVARTH3,HAVARTH4
2022,ADDEPEV2,ADDEPEV3
2022,CHCKIDNY,CHCKDNY2
2022,DIFFWALK,DIFFWALK
2023,SEX,_SEX
2023,MARITAL,MARITAL
2023,EDUCA,EDUCA
2023,EMPLOY1,EMPLOY1
2023,INCOME2,INCOME3
2023,GENHLTH,GENHLTH
2023,PHYSHLTH,PHYSHLTH
2023,MENTHLTH,MENTHLTH
2023,POORHLTH,POORHLTH
2023,HLTHPLN1,_HLTHPL1
2023,CHECKUP1,CHECKUP1
2023,BPHIGH4,BPHIGH6
2023,TOLDHI2,TOLDHI3
2023,CVDSTRK3,CVDSTRK3
2023,CHCSCNCR,CHCSCNC1
2023,CHCOCNCR,CHCOCNC1
2023,CHCCOPD1,CHCCOPD3
2023,HAVARTH3,HAVARTH4
2023,ADDEPEV2,ADDEPEV3
2023,CHCKIDNY,CHCKDNY2
2023,DIFFWALK,DIFFWALK
